INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : Isla San Lorenzo, Callao
CODIGO  : SLN1
LATITUD : -12.076
LONGITUD: -77.235

2. SISMO
FECHA LOCAL     : 2025/06/15
HORA LOCAL      : 11:35:27
LATITUD         : -12.180
LONGITUD        : -77.390
PROFUNDIDAD     : 49.0 km
MAGNITUD        : M6.1
DIST. EPICENTRAL: 20.4 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2025/06/15 16:35:30 UTC
NUMERO DE MUESTRAS         : 7038
MUESTREO                   : 100.0 muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   29.4497        33.7272       29.5751

              Z              N              E
          0.000711        0.001903        0.004460
         -0.000160        0.002033        0.004666
         -0.000816        0.001464        0.005163
         -0.001562        0.000254        0.005490
         -0.002621       -0.000824        0.005435
         -0.003830       -0.001430        0.005003
         -0.004870       -0.001684        0.004383
         -0.005686       -0.001593        0.004006
         -0.006492       -0.001114        0.004161
         -0.007396       -0.000520        0.004562
         -0.008237       -0.000348        0.004714
         -0.008869       -0.000897        0.004544
         -0.009455       -0.001852        0.004247
         -0.010327       -0.002676        0.003824
         -0.011563       -0.003333        0.003230
         -0.012826       -0.004182        0.002679
         -0.013793       -0.005215        0.002318
         -0.014675       -0.005966        0.001861
         -0.015927       -0.006196        0.000961
         -0.017433       -0.006267       -0.000174
         -0.018592       -0.006701       -0.000915
         -0.019295       -0.007588       -0.000895
         -0.020102       -0.008625       -0.000236
         -0.021283       -0.009683        0.000753
         -0.022478       -0.010883        0.001716
         -0.023416       -0.011999        0.002174
         -0.024234       -0.012372        0.001847
         -0.025000       -0.011817        0.001049
         -0.025560       -0.011070        0.000229
         -0.025892       -0.010902       -0.000767
         -0.026173       -0.011235       -0.002397
         -0.026568       -0.011549       -0.004529
         -0.027130       -0.011668       -0.006385
         -0.027809       -0.011754       -0.007286
         -0.028486       -0.011997       -0.007170
         -0.029034       -0.012573       -0.006566
         -0.029310       -0.013397       -0.006122
         -0.029276       -0.013809       -0.006096
         -0.029241       -0.013225       -0.006457
         -0.029591       -0.012216       -0.007207
         -0.030153       -0.012139       -0.008160
         -0.030320       -0.013437       -0.008872
         -0.029932       -0.014990       -0.009329
         -0.029495       -0.015561       -0.010076
         -0.029419       -0.015350       -0.011259
         -0.029496       -0.015489       -0.012190
         -0.029325       -0.016269       -0.012178
         -0.029034       -0.016799       -0.011373
         -0.029105       -0.016535       -0.010646
         -0.029390       -0.016045       -0.010713
         -0.029003       -0.015846       -0.011385
         -0.027675       -0.015554       -0.011859
